,Horas,LAT,LNG
1955,01:50:00,-20.2788239,-70.0901007
1956,04:40:00,-20.2706147,-70.0947739
1971,04:35:00,-20.2556007,-70.1335085
1982,05:05:00,-20.2486989,-70.1379616
1997,01:30:00,-20.2612165,-70.1015553
2009,05:30:00,-20.2307248,-70.1356851
2011,02:45:00,-20.2901449,-70.127441
2016,00:15:00,-20.2195518,-70.1467191
2024,00:30:00,-20.2201278,-70.1361812
2029,00:45:00,-20.2362204,-70.1488597
2030,04:00:00,-20.2118954,-70.1452387
2038,00:15:00,-20.2189699,-70.1413536
2043,03:00:00,-20.2246898,-70.1408337
2068,03:50:00,-20.2184918,-70.1494876
2069,01:00:00,-20.2685026,-70.1293773
2088,05:55:00,-20.2131391,-70.1493608
2090,05:45:00,-20.2126575,-70.14924
2092,01:15:00,-20.2602072,-70.0967839
2097,05:10:00,-20.239734,-70.1466694
2116,02:00:00,-20.276649,-70.090385
2124,03:50:00,-20.278744,-70.089119
2125,02:30:00,-20.266775,-70.095711
2133,01:50:00,-20.238081,-70.145447
2143,00:15:00,-20.255453,-70.1017
2153,05:00:00,-20.279575,-70.105515
2154,03:30:00,-20.278202,-70.095352
2156,00:15:00,-20.270576,-70.104439
2164,01:30:00,-20.259186,-70.103996
2193,01:25:00,-20.296482,-70.106918
2201,05:30:00,-20.27524,-70.097549
2221,02:30:00,-20.291426,-70.098923
2227,01:05:00,-20.274664,-70.092682
2230,04:40:00,-20.287916,-70.103432
2254,05:45:00,-20.280746,-70.104507
2263,01:10:00,-20.293665,-70.105553
2267,06:00:00,-20.287251,-70.10379
2282,05:30:00,-20.274849,-70.107094
2316,04:05:00,-20.259888,-70.094772
2318,02:10:00,-20.263357,-70.09903
2325,02:25:00,-20.259993,-70.074936
2332,04:40:00,-20.270264,-70.106873
2338,00:40:00,-20.264618,-70.100548
2343,05:40:00,-20.260735,-70.094162
2356,04:15:00,-20.270264,-70.106873
2361,02:45:00,-20.268074,-70.101456
2363,03:30:00,-20.271467,-70.104568
2386,00:30:00,-20.271244,-70.097382
2390,05:20:00,-20.289232,-70.105392
2396,05:50:00,-20.275091,-70.107323
2398,04:50:00,-20.275837,-70.091797
2401,04:50:00,-20.283064,-70.08741
2416,00:20:00,-20.279625,-70.089447
2430,04:30:00,-20.23477,-70.136375
2439,04:35:00,-20.210417,-70.135353
2446,01:00:00,-20.212177,-70.136482
2449,03:30:00,-20.24612,-70.139412
2459,04:50:00,-20.289164,-70.128014
2462,02:30:00,-20.280857,-70.12767
2465,06:00:00,-20.260365,-70.132118
2467,01:10:00,-20.231663,-70.145844
2469,04:50:00,-20.24235,-70.143005
2482,02:50:00,-20.288185,-70.12661
2483,01:50:00,-20.222357,-70.152908
2500,01:38:00,-20.263147,-70.12542
2501,04:15:00,-20.236153,-70.148842
2502,06:00:00,-20.237549,-70.132828
2522,03:30:00,-20.235559,-70.13427
2524,01:15:00,-20.235813,-70.133652
2528,00:20:00,-20.211393,-70.132141
2529,01:19:00,-20.220818,-70.149475
2537,00:50:00,-20.236668,-70.14875
2546,05:30:00,-20.226995,-70.137199
2548,00:10:00,-20.239304,-70.144936
2577,04:00:00,-20.254087,-70.132874
2583,01:30:00,-20.214928,-70.145103
2587,04:50:00,-20.262625,-70.124763
2591,03:55:00,-20.272299,-70.128517
2592,04:20:00,-20.272299,-70.128517
2593,01:30:00,-20.272299,-70.128517
2597,00:20:00,-20.272299,-70.128517
2604,03:30:00,-20.286537,-70.127457
2617,02:10:00,-20.230402,-70.138153
2621,05:40:00,-20.266464,-70.123024
2625,05:15:00,-20.264406,-70.12262
2636,05:20:00,-20.219875,-70.14328
2638,03:00:00,-20.244209,-70.13974
2642,04:48:00,-20.2304,-70.130684
2652,01:15:00,-20.22765,-70.141533
2664,04:40:00,-20.248722,-70.130905
2665,02:15:00,-20.249401,-70.13662
2687,04:30:00,-20.249659,-70.130531
2693,04:00:00,-20.221966,-70.134888
2703,02:30:00,-20.25592,-70.131096
2706,04:00:00,-20.212671,-70.146973
2721,04:00:00,-20.246796,-70.130211
2729,04:30:00,-20.268324,-70.126305
2738,00:30:00,-20.228834,-70.134354
2739,00:50:00,-20.228378,-70.13446
2740,00:20:00,-20.236158,-70.144859
2742,03:15:00,-20.2472,-70.125435
2769,05:10:00,-20.272299,-70.128517
2770,05:30:00,-20.241674,-70.143875
2771,00:15:00,-20.241674,-70.143875
2773,00:10:00,-20.241459,-70.143822
2774,01:35:00,-20.238735,-70.142654
2787,00:15:00,-20.217392,-70.139183
2791,04:20:00,-20.217678,-70.134705
2812,01:00:00,-20.223471,-70.146935
2852,03:20:00,-20.241833,-70.142822
2853,05:25:00,-20.241833,-70.142822
2860,04:45:00,-20.220751,-70.144386
2861,02:17:00,-20.212841,-70.144005
2880,00:35:00,-20.224836,-70.138062
2881,04:20:00,-20.2306,-70.138649
2895,04:30:00,-20.2181,-70.137146
2899,05:00:00,-20.22529,-70.149551
2922,03:00:00,-20.213438,-70.139839
2926,02:30:00,-20.215483,-70.140106
2930,06:00:00,-20.238741,-70.132004
2932,05:15:00,-20.210943,-70.151009
2940,02:07:00,-20.216541,-70.151451
2961,06:00:00,-20.236465,-70.136055
2977,01:15:00,-20.251328,-70.131416
2979,01:10:00,-20.251677,-70.131805
2989,05:10:00,-20.252035,-70.131805
2996,05:55:00,-20.246483,-70.133186
2998,02:45:00,-20.254269,-70.131409
2999,03:45:00,-20.254269,-70.131409
3002,04:20:00,-20.246408,-70.131271
3004,00:10:00,-20.230831,-70.141487
3015,05:00:00,-20.212706,-70.133858
3017,01:30:00,-20.241737,-70.134102
3031,05:40:00,-20.216213,-70.14193
3032,04:10:00,-20.216213,-70.14193
3057,03:30:00,-20.290707,-70.124496
3062,01:40:00,-20.230831,-70.141487
3064,01:00:00,-20.230831,-70.141487
3068,00:40:00,-20.262625,-70.124763
3070,06:00:00,-20.230555,-70.139809
3106,04:00:00,-20.210798,-70.149162
3117,05:10:00,-20.222597,-70.135071
3121,04:00:00,-20.222095,-70.139526
3130,00:50:00,-20.221478,-70.149117
3136,06:00:00,-20.211605,-70.148415
3143,01:00:00,-20.261662,-70.129135
3181,02:00:00,-20.239601,-70.14035
3184,06:00:00,-20.239475,-70.140358
3214,04:00:00,-20.233635,-70.142189
3224,01:30:00,-20.221037,-70.139496
3240,01:10:00,-20.238243,-70.144112
3245,01:45:00,-20.238243,-70.1441106
3254,01:10:00,-20.215546,-70.139061
3281,03:50:00,-20.222694,-70.142311
3292,01:45:00,-20.219616,-70.145447
3303,01:24:00,-20.2143706,-70.1450321
3307,01:30:00,-20.20916,-70.130486
3308,05:30:00,-20.272299,-70.128517
3320,02:40:00,-20.259937,-70.124908
3325,02:00:00,-20.250362,-70.127411
3329,02:55:00,-20.274017,-70.130379
3332,04:00:00,-20.233309,-70.128319
3338,06:00:00,-20.2750176,-70.1266749
3341,05:30:00,-20.2750176,-70.1266749
3347,01:30:00,-20.252291,-70.127113
3355,02:30:00,-20.237974,-70.128891
3356,04:40:00,-20.237974,-70.128891
3358,04:00:00,-20.237974,-70.128891
3379,05:30:00,-20.262924,-70.123322
3403,00:30:00,-20.238604,-70.142776
3411,05:55:00,-20.211857,-70.136719
3422,02:00:00,-20.220181,-70.134903
3438,02:15:00,-20.244516,-70.131683
3475,00:30:00,-20.225105,-70.149826
3478,00:05:00,-20.225105,-70.149826
3479,04:40:00,-20.225105,-70.149826
3482,03:45:00,-20.244184,-70.140945
3485,04:00:00,-20.243156,-70.142166
3486,05:40:00,-20.243156,-70.142166
3509,02:48:00,-20.23011,-70.146439
3520,05:20:00,-20.244184,-70.140945
3523,00:50:00,-20.239735,-70.146667
3524,01:15:00,-20.239735,-70.146667
3528,05:20:00,-20.207777,-70.149887
3530,04:00:00,-20.223726,-70.150894
3533,05:00:00,-20.207827,-70.149124
3539,03:20:00,-20.241678,-70.144104
3540,05:45:00,-20.241678,-70.144104
3541,06:00:00,-20.241678,-70.144104
3543,00:50:00,-20.241678,-70.144104
3549,05:15:00,-20.274017,-70.130379
3555,05:50:00,-20.255538,-70.133948
3565,03:00:00,-20.255713,-70.134239
3570,01:20:00,-20.245836,-70.1401573
3574,05:00:00,-20.245836,-70.1401573
3581,05:45:00,-20.24861,-70.138214
3582,00:50:00,-20.24861,-70.138214
3590,04:20:00,-20.240425,-70.144997
3593,05:00:00,-20.268503,-70.129379
3605,02:00:00,-20.290266,-70.1194
3609,04:40:00,-20.219219,-70.152138
3613,01:50:00,-20.218641,-70.147514
3622,01:30:00,-20.219505,-70.14756
3631,04:45:00,-20.217583,-70.14743
3650,02:30:00,-20.219246,-70.136238
3688,00:40:00,-20.21854,-70.148849
3697,02:00:00,-20.212246,-70.149223
3718,05:00:00,-20.271952,-70.12616
3733,01:50:00,-20.222597,-70.135071
3748,01:10:00,-20.269073,-70.12632
3786,02:10:00,-20.224806,-70.135292
3831,05:45:00,-20.211884,-70.142532
3870,04:15:00,-20.2305996,-70.1386507
3954,05:15:00,-20.2128128,-70.141805
3988,00:20:00,-20.2359832,-70.1447332
4007,03:55:00,-20.2315094,-70.1375521
4010,03:55:00,-20.2379088,-70.1271838
4022,02:20:00,-20.2621951,-70.1034517
4051,02:00:00,-20.2581607,-70.1310051
4052,00:05:00,-20.2575977,-70.1292954
4059,00:35:00,-20.277504,-70.124935
4077,02:20:00,-20.2188278,-70.1436951
4100,00:30:00,-20.2325448,-70.1358294
4126,00:20:00,-20.2800393,-70.0791757
4132,00:50:00,-20.2426573,-70.142092
4144,05:40:00,-20.2626251,-70.1247655
4149,02:10:00,-20.2561121,-70.1309733
4156,03:30:00,-20.2489452,-70.1028665
4172,02:00:00,-20.2127063,-70.1338548
4195,02:20:00,-20.2537602,-70.1281228
4208,04:40:00,-20.257236,-70.1300274
4223,00:40:00,-20.2561448,-70.1335699
4248,02:00:00,-20.2826568,-70.0963128
4264,01:50:00,-20.2334817,-70.1379182
4268,01:50:00,-20.2468836,-70.1328517
4276,02:10:00,-20.2278889,-70.1430987
4287,01:00:00,-20.2331714,-70.13765
4294,05:30:00,-20.2919344,-70.1276743
4299,02:15:00,-20.2230671,-70.1338318
4307,04:50:00,-20.238604,-70.1427771
4309,04:00:00,-20.2744074,-70.1266336
4310,04:00:00,-20.2416584,-70.1317001
4311,03:20:00,-20.2525505,-70.1319485
4313,01:20:00,-20.2396109,-70.1342741
4314,01:20:00,-20.2391223,-70.1414652
4317,01:05:00,-20.2464764,-70.1283501
4318,05:25:00,-20.2338858,-70.1459262
4319,04:36:00,-20.2394749,-70.1403552
4325,05:30:00,-20.2297783,-70.1290144
4329,01:30:00,-20.2701862,-70.0974287
4342,02:30:00,-20.2556494,-70.1069486
4345,03:00:00,-20.2688096,-70.0982439
4347,04:30:00,-20.2120083,-70.1525171
4364,00:05:00,-20.2417381,-70.1341018
4375,05:20:00,-20.2249719,-70.1360341
4391,05:30:00,-20.2800542,-70.1007563
4392,00:05:00,-20.2611621,-70.1028792
4427,01:50:00,-20.23336,-70.14116
4447,02:47:00,-20.2382135,-70.1286667
4458,00:45:00,-20.2210371,-70.1394955
4460,01:43:00,-20.2265816,-70.1295875
4469,04:30:00,-20.2688456,-70.1018435
4474,04:48:00,-20.2242608,-70.131489
4481,02:50:00,-20.2591087,-70.0970898
4492,05:10:00,-20.2297379,-70.1321698
4544,02:38:00,-20.2702988,-70.0974218
4580,00:20:00,-20.264018,-70.1043898
4582,01:55:00,-20.2631215,-70.1047397
4659,03:00:00,-20.2796612,-70.090555
4752,01:10:00,-20.245055,-70.13167
4756,01:35:00,-20.23336,-70.14116
4762,01:00:00,-20.2728609,-70.0922076
4774,05:00:00,-20.2329294,-70.1294341
4777,00:04:00,-20.2885654,-70.1065996
4780,00:20:00,-20.2542691,-70.1314071
4784,04:40:00,-20.2286417,-70.1437419
4798,00:15:00,-20.2133074,-70.134039
4826,05:20:00,-20.2722121,-70.0984739
4840,05:30:00,-20.2626251,-70.1247655
4841,05:30:00,-20.2307825,-70.1397915
4859,02:15:00,-20.2250238,-70.1352451
4863,01:15:00,-20.2845478,-70.1031711
4866,00:15:00,-20.2319825,-70.1331638
4871,04:00:00,-20.2292488,-70.1326823
4872,03:20:00,-20.2289833,-70.136419
4875,01:35:00,-20.217943,-70.1402358
4876,03:20:00,-20.2608584,-70.1276117
4883,00:05:00,-20.23336,-70.14116
4891,02:00:00,-20.2147104,-70.1513996
4896,01:15:00,-20.2478923,-70.1368759
4898,02:00:00,-20.2393332,-70.128287
4899,01:00:00,-20.2608584,-70.1276117
4905,00:15:00,-20.239987,-70.145794
4916,00:30:00,-20.2365343,-70.1420811
4918,04:00:00,-20.2626251,-70.1247655
4923,03:30:00,-20.2688456,-70.1018435
4925,00:15:00,-20.2608584,-70.1276117
4943,04:30:00,-20.247367,-70.1264747
4960,03:15:00,-20.231662,-70.1458447
4963,01:15:00,-20.2626251,-70.1247655
4973,04:10:00,-20.2511277,-70.103663
4982,05:50:00,-20.2441837,-70.1409449
