LAT,LNG,COMUNA,Tipo_Accdt,Fallecidos,Graves,Menos_Grav,Leves,Hora,Año,Fecha,X,Y,COD_REG,FID,CUT,IdAccident
-20.2139981,-70.1493062,IQUIQUE,ATROPELLO,0,0,0,1,07:30:00,2018,2018/06/15 00:00:00+00,-70.1493062,-20.2139981,1,107,1101,1108211
-20.2314378,-70.1355405,IQUIQUE,CHOQUE POSTERIOR,0,0,0,0,21:30:00,2018,2018/06/15 00:00:00+00,-70.1355405,-20.2314378,1,108,1101,1108216
-20.2443662,-70.129305,IQUIQUE,COLISION,0,0,0,0,07:45:00,2018,2018/06/15 00:00:00+00,-70.129305,-20.2443662,1,109,1101,1108220
-20.2274904,-70.1446933,IQUIQUE,CHOQUE LATERAL,0,0,0,0,19:50:00,2018,2018/06/15 00:00:00+00,-70.1446933,-20.2274904,1,110,1101,1108223
-20.2145966,-70.1428339,IQUIQUE,COLISION LATERAL,0,0,0,0,19:00:00,2018,2018/06/15 00:00:00+00,-70.1428339,-20.2145966,1,111,1101,1108229
-20.269751,-70.129577,IQUIQUE,COLISION,0,1,0,1,19:10:00,2018,2018/06/15 00:00:00+00,-70.129577,-20.269751,1,112,1101,1108231
-20.2524488,-70.1272441,IQUIQUE,CHOQUE,0,0,0,0,13:00:00,2018,2018/06/16 00:00:00+00,-70.1272441,-20.2524488,1,113,1101,1108233
-20.2441837,-70.1409449,IQUIQUE,CHOQUE POSTERIOR,0,0,0,1,07:20:00,2018,2018/06/16 00:00:00+00,-70.1409449,-20.2441837,1,114,1101,1108235
-20.2364664,-70.1360525,IQUIQUE,COLISION LATERAL,0,0,0,1,14:00:00,2018,2018/06/16 00:00:00+00,-70.1360525,-20.2364664,1,115,1101,1108239
-20.2361951,-70.1508536,IQUIQUE,COLISION LATERAL,0,0,0,0,20:40:00,2018,2018/06/16 00:00:00+00,-70.1508536,-20.2361951,1,116,1101,1108328
-20.2375795,-70.1397646,IQUIQUE,COLISION LATERAL,0,0,0,0,19:25:00,2018,2018/06/17 00:00:00+00,-70.1397646,-20.2375795,1,117,1101,1108354
-20.2148322,-70.1389636,IQUIQUE,COLISION LATERAL,0,0,0,0,17:30:00,2018,2018/01/08 00:00:00+00,-70.1389636,-20.2148322,1,118,1101,1066344
-20.2186921,-70.1363192,IQUIQUE,CHOQUE LATERAL,0,0,0,0,09:00:00,2018,2018/06/17 00:00:00+00,-70.1363192,-20.2186921,1,119,1101,1108783
-20.2309547,-70.1320209,IQUIQUE,CHOQUE FRENTE/LADO,0,0,1,0,01:45:00,2018,2018/06/17 00:00:00+00,-70.1320209,-20.2309547,1,120,1101,1108912
-20.2279008,-70.1354882,IQUIQUE,COLISION LATERAL,0,0,0,0,07:45:00,2018,2018/06/18 00:00:00+00,-70.1354882,-20.2279008,1,121,1101,1109024
-20.24159,-70.1430455,IQUIQUE,CHOQUE FRENTE/FRENTE,0,0,0,0,21:20:00,2018,2018/01/08 00:00:00+00,-70.1430455,-20.24159,1,122,1101,1066357
-20.2127608,-70.1435822,IQUIQUE,CHOQUE FRENTE/POSTERIOR,0,0,0,0,08:30:00,2018,2018/06/18 00:00:00+00,-70.1435822,-20.2127608,1,123,1101,1109071
-20.2516769,-70.1318018,IQUIQUE,COLISION LATERAL,0,0,0,0,18:15:00,2018,2018/06/19 00:00:00+00,-70.1318018,-20.2516769,1,124,1101,1109105
-20.231662,-70.1458447,IQUIQUE,COLISION POR ALCANCE,0,0,0,0,12:10:00,2018,2018/06/19 00:00:00+00,-70.1458447,-20.231662,1,125,1101,1109119
-20.2147099,-70.1409628,IQUIQUE,CHOQUE FRENTE/LADO,0,0,0,3,21:45:00,2018,2018/06/19 00:00:00+00,-70.1409628,-20.2147099,1,126,1101,1109538
-20.2205113,-70.149037,IQUIQUE,COLISION LATERAL,0,0,0,1,16:10:00,2018,2018/06/20 00:00:00+00,-70.149037,-20.2205113,1,127,1101,1109602
-20.217696,-70.1452689,IQUIQUE,COLISION LATERAL,0,0,0,0,20:30:00,2018,2018/06/20 00:00:00+00,-70.1452689,-20.217696,1,128,1101,1109614
-20.2221392,-70.1337018,IQUIQUE,COLISION POR ALCANCE,0,0,0,0,10:30:00,2018,2018/06/21 00:00:00+00,-70.1337018,-20.2221392,1,129,1101,1109626
-20.2158425,-70.1344699,IQUIQUE,COLISION LATERAL,0,0,0,0,07:55:00,2018,2018/06/21 00:00:00+00,-70.1344699,-20.2158425,1,130,1101,1109633
-20.2236676,-70.1418305,IQUIQUE,COLISION LATERAL,0,0,0,2,11:00:00,2018,2018/06/22 00:00:00+00,-70.1418305,-20.2236676,1,131,1101,1109971
-20.2448842,-70.1266914,IQUIQUE,CHOQUE FRENTE/LADO,0,0,0,0,18:00:00,2018,2018/06/23 00:00:00+00,-70.1266914,-20.2448842,1,132,1101,1109978
-20.2868313,-70.1029781,ALTO HOSPICIO,COLISION,0,0,0,0,07:20:00,2018,2018/06/13 00:00:00+00,-70.1029781,-20.2868313,1,133,1107,1110093
-20.2607969,-70.1319862,IQUIQUE,CHOQUE FRONTAL,0,0,0,0,04:35:00,2018,2018/12/27 00:00:00+00,-70.1319862,-20.2607969,1,134,1101,1156732
-20.2096708,-70.1507889,IQUIQUE,COLISION LATERAL,0,0,0,1,17:40:00,2018,2018/06/24 00:00:00+00,-70.1507889,-20.2096708,1,135,1101,1110452
-20.2126716,-70.148467,IQUIQUE,CHOQUE POSTERIOR,0,0,0,0,04:00:00,2018,2018/06/25 00:00:00+00,-70.148467,-20.2126716,1,136,1101,1110502
-20.2664507,-70.1029387,ALTO HOSPICIO,CHOQUE FRENTE/POSTERIOR,0,0,0,0,20:40:00,2018,2018/06/20 00:00:00+00,-70.1029387,-20.2664507,1,137,1107,1110537
-20.2501879,-70.0988579,ALTO HOSPICIO,COLISION,0,0,0,0,08:30:00,2018,2018/06/21 00:00:00+00,-70.0988579,-20.2501879,1,138,1107,1110546
-20.2788239,-70.0901007,ALTO HOSPICIO,COLISION,0,0,0,0,15:10:00,2018,2018/06/21 00:00:00+00,-70.0901007,-20.2788239,1,139,1107,1110549
-20.2109195,-70.1459124,IQUIQUE,COLISION LATERAL,0,0,0,0,15:45:00,2018,2018/06/25 00:00:00+00,-70.1459124,-20.2109195,1,140,1101,1110550
-20.2172573,-70.1529207,IQUIQUE,ATROPELLO,0,0,0,1,07:50:00,2018,2018/06/26 00:00:00+00,-70.1529207,-20.2172573,1,141,1101,1110857
-20.2407401,-70.1408296,IQUIQUE,COLISION LATERAL,0,0,0,0,13:15:00,2018,2018/06/27 00:00:00+00,-70.1408296,-20.2407401,1,142,1101,1111610
-20.2158887,-70.154444,IQUIQUE,CHOQUE FRENTE/LADO,0,0,0,0,15:14:00,2018,2018/06/27 00:00:00+00,-70.154444,-20.2158887,1,143,1101,1111764
